Sr. No,Distributor,Type,Order ID,Invoice ID,User ID,User Name,User Phone No,User ID Number,Wallet Balance,Final Minting Charge,Safegold Minting Charge,Partner Minting Charge,Delivery Charge,Promo Name,Promo Code,Promo Type,Discount Amount,Sub Total Amount,Grand Total Amount,Gold Rate,Amount Before Vat,Vat Fee,Product Title,Product Category,Product Brand,Product ID,Product Owned By,Product Serial Number,Product Card Name,Weight,WeightG,Mobile Number,Postal Code,Address,Sub District,District,Province,Full Address,Quantity,Tracking Link,Order Date,Partner Recon Date,Transaction Status,Delivery Status,Realization Status,Receipt Number,Receipt URL,TypeGold,G/B,Unit,Price:Unit,AMT
11,MoveVAI Retail,buy,MV-20260507-011,INV-20260507-011,U-1011,คุณวราภรณ์ แก้วมณี,086-111-2233,1103701123456,74300.00,150.00,120.00,30.00,60.00,,,none,0.00,46250.00,46310.00,46250.00,43205.61,3024.39,ทองคำแท่ง 96.5% 1 บาท,Gold Bar,AUSIRIS,PRD-G965-1B,AUSIRIS,SN-G965-0011,Gold Saver Card,1 บาท,15.16,086-111-2233,10240,55/11 ซอยสุขุมวิท 101/1,บางจาก,พระโขนง,กรุงเทพมหานคร,55/11 ซอยสุขุมวิท 101/1 แขวงบางจาก เขตพระโขนง กรุงเทพมหานคร 10240,1,https://track.example.com/MV-20260507-011,2026-05-04,2026-05-04,paid,processing,pending,RC-20260507-011,https://receipt.example.com/RC-20260507-011,gold,G,บาท,46250.00,46250.00
12,MoveVAI Retail,buy,MV-20260507-012,INV-20260507-012,U-1012,คุณณัฐวดี ชัยเสรี,095-222-3344,1103701223456,119000.00,220.00,180.00,40.00,80.00,,,none,0.00,100200.00,100280.00,33400.00,93644.86,6555.14,ทองคำแท่ง 99.99% 10 กรัม,Gold Bar,AUSIRIS,PRD-G9999-10G,AUSIRIS,SN-G9999-0012,Premium Gold Card,10 กรัม,10.00,095-222-3344,20110,120 หมู่ 5,หนองปรือ,บางละมุง,ชลบุรี,120 หมู่ 5 ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20110,3,https://track.example.com/MV-20260507-012,2026-05-04,2026-05-04,paid,ready,pending,RC-20260507-012,https://receipt.example.com/RC-20260507-012,gold,G,กรัม,33400.00,100200.00
13,MoveVAI Retail,buy,MV-20260507-013,INV-20260507-013,U-1013,คุณรัตนา มงคลชัย,083-333-4455,1103701323456,88000.00,120.00,100.00,20.00,60.00,,,none,0.00,31200.00,31260.00,31200.00,29158.88,2041.12,เงินแท่ง 99.99% 1 กิโลกรัม,Silver Bar,AUSIRIS,PRD-SIL-1KG,AUSIRIS,SN-SIL-0013,Silver Vault Card,1 กิโลกรัม,1000.00,083-333-4455,84000,44/3 ถนนมหาราช,ตลาด,เมืองจันทบุรี,จันทบุรี,44/3 ถนนมหาราช ต.ตลาด อ.เมืองจันทบุรี จ.จันทบุรี 84000,1,https://track.example.com/MV-20260507-013,2026-05-04,2026-05-05,paid,processing,pending,RC-20260507-013,https://receipt.example.com/RC-20260507-013,silver,B,กิโลกรัม,31200.00,31200.00
14,MoveVAI Retail,buy,MV-20260507-014,INV-20260507-014,U-1014,คุณปกรณ์ ศรีสกุล,087-444-5566,1103701423456,145000.00,160.00,120.00,40.00,100.00,,,none,0.00,93600.00,93700.00,46800.00,87476.64,6123.36,สร้อยข้อมือทอง 96.5% 2 สลึง,Jewelry,AUSIRIS,PRD-JEW-BRC-2S,AUSIRIS,SN-JEW-0014,Jewelry Card,2 สลึง,7.58,087-444-5566,40000,91/8 หมู่ 2,บ้านเป็ด,เมืองขอนแก่น,ขอนแก่น,91/8 หมู่ 2 ต.บ้านเป็ด อ.เมืองขอนแก่น จ.ขอนแก่น 40000,2,https://track.example.com/MV-20260507-014,2026-05-05,2026-05-05,paid,ready,pending,RC-20260507-014,https://receipt.example.com/RC-20260507-014,gold,G,สลึง,46800.00,93600.00
15,MoveVAI Retail,buy,MV-20260507-015,INV-20260507-015,U-1015,คุณสุพัตรา ตั้งจิตต์,081-555-6677,1103701523456,52300.00,140.00,110.00,30.00,60.00,SHIPFREE,SHIPFREE,service,60.00,19800.00,19800.00,9900.00,18514.02,1295.98,แหวนทอง 96.5% 2 สลึง,Jewelry,AUSIRIS,PRD-JEW-RING-2S,AUSIRIS,SN-JEW-0015,Jewelry Card,2 สลึง,7.58,081-555-6677,73170,23/9 หมู่ 1,มะขามเตี้ย,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,23/9 หมู่ 1 ต.มะขามเตี้ย อ.เมืองสุราษฎร์ธานี จ.สุราษฎร์ธานี 73170,1,https://track.example.com/MV-20260507-015,2026-05-05,2026-05-05,paid,delivered,realized,RC-20260507-015,https://receipt.example.com/RC-20260507-015,gold,G,สลึง,19800.00,19800.00
16,MoveVAI Retail,buy,MV-20260507-016,INV-20260507-016,U-1016,บริษัท เอสเอ็มเอ็ม โลจิสติกส์,02-345-6781,0105550123456,280000.00,300.00,240.00,60.00,0.00,CORP100,CORP100,amount,100.00,138750.00,138650.00,46250.00,129579.44,9070.56,ทองคำแท่ง 96.5% 1 บาท,Gold Bar,AUSIRIS,PRD-G965-1B,AUSIRIS,SN-G965-0016,Corporate Gold Card,1 บาท,15.16,02-345-6781,10510,อาคารเอสเอ็มเอ็ม ชั้น 9 ถนนเทพรัตน,บางนาใต้,บางนา,กรุงเทพมหานคร,ผู้รับ คุณชลธิชา สุวรรณดี อาคารเอสเอ็มเอ็ม ชั้น 9 ถนนเทพรัตน แขวงบางนาใต้ เขตบางนา กรุงเทพมหานคร 10510 โทร 0801239876,3,https://track.example.com/MV-20260507-016,2026-05-05,2026-05-06,paid,processing,pending,RC-20260507-016,https://receipt.example.com/RC-20260507-016,gold,G,บาท,46250.00,138750.00
17,MoveVAI Retail,buy,MV-20260507-017,INV-20260507-017,U-1017,คุณธีรวัฒน์ ผลเจริญ,080-666-7788,1103701723456,61000.00,150.00,120.00,30.00,80.00,,,none,0.00,46250.00,46330.00,46250.00,43205.61,3024.39,ทองคำแท่ง 96.5% 1 บาท,Gold Bar,AUSIRIS,PRD-G965-1B,AUSIRIS,SN-G965-0017,Gold Saver Card,1 บาท,15.16,080-666-7788,50000,111/5 ถนนนิมมานเหมินท์,สุเทพ,เมืองเชียงใหม่,เชียงใหม่,111/5 ถนนนิมมานเหมินท์ ต.สุเทพ อ.เมืองเชียงใหม่ จ.เชียงใหม่ 50000,1,https://track.example.com/MV-20260507-017,2026-05-06,2026-05-06,paid,ready,pending,RC-20260507-017,https://receipt.example.com/RC-20260507-017,gold,G,บาท,46250.00,46250.00
18,MoveVAI Retail,buy,MV-20260507-018,INV-20260507-018,U-1018,คุณกนกวรรณ รุ่งเรือง,089-777-8899,1103701823456,102000.00,200.00,150.00,50.00,80.00,,,none,0.00,66800.00,66880.00,33400.00,62429.91,4370.09,ทองคำแท่ง 99.99% 10 กรัม,Gold Bar,AUSIRIS,PRD-G9999-10G,AUSIRIS,SN-G9999-0018,Premium Gold Card,10 กรัม,10.00,089-777-8899,65000,9/14 ถนนพหลโยธิน,ปากเพรียว,เมืองสระบุรี,สระบุรี,9/14 ถนนพหลโยธิน ต.ปากเพรียว อ.เมืองสระบุรี จ.สระบุรี 65000,2,https://track.example.com/MV-20260507-018,2026-05-06,2026-05-06,paid,processing,pending,RC-20260507-018,https://receipt.example.com/RC-20260507-018,gold,G,กรัม,33400.00,66800.00
19,MoveVAI Retail,buy,MV-20260507-019,INV-20260507-019,U-1019,คุณศุภชัย อุดมทรัพย์,082-888-9900,1103701923456,78000.00,120.00,100.00,20.00,60.00,,,none,0.00,31200.00,31260.00,31200.00,29158.88,2041.12,เงินแท่ง 99.99% 1 กิโลกรัม,Silver Bar,AUSIRIS,PRD-SIL-1KG,AUSIRIS,SN-SIL-0019,Silver Vault Card,1 กิโลกรัม,1000.00,082-888-9900,43000,19/8 หมู่ 6,หมากแข้ง,เมืองอุดรธานี,อุดรธานี,19/8 หมู่ 6 ต.หมากแข้ง อ.เมืองอุดรธานี จ.อุดรธานี 43000,1,https://track.example.com/MV-20260507-019,2026-05-06,2026-05-07,paid,ready,pending,RC-20260507-019,https://receipt.example.com/RC-20260507-019,silver,B,กิโลกรัม,31200.00,31200.00
20,MoveVAI Retail,buy,MV-20260507-020,INV-20260507-020,U-1020,คุณนภัสสร บุญมาก,084-999-0011,1103702023456,167000.00,180.00,140.00,40.00,100.00,MAYDAY,MAYDAY,amount,120.00,96400.00,96380.00,48200.00,90093.46,6306.54,ทองคำแท่ง 99.99% 1 บาท,Gold Bar,AUSIRIS,PRD-G9999-1B,AUSIRIS,SN-G9999-0020,Private Gold Card,1 บาท,15.16,084-999-0011,12000,59/22 ซอยงามวงศ์วาน 47 แยก 6,ทุ่งสองห้อง,หลักสี่,กรุงเทพมหานคร,59/22 ซอยงามวงศ์วาน 47 แยก 6 แขวงทุ่งสองห้อง เขตหลักสี่ กรุงเทพมหานคร 12000,2,https://track.example.com/MV-20260507-020,2026-05-07,2026-05-07,paid,processing,pending,RC-20260507-020,https://receipt.example.com/RC-20260507-020,gold,G,บาท,48200.00,96400.00
